data,recall,precision,F1 score
BTC,0.334,0.315,0.238
BTS,0.335,0.358,0.196
DASH,0.315,0.225,0.170
DGB,0.324,0.326,0.186
DOGE,0.296,0.250,0.157
ETH,0.330,0.298,0.166
IOC,0.315,0.264,0.175
LTC,0.347,0.342,0.176
MAID,0.326,0.371,0.225
MONA,0.332,0.291,0.244
NAV,0.331,0.349,0.212
SYS,0.331,0.314,0.237
VTC,0.308,0.343,0.193
XCP,0.315,0.368,0.162
XLM,0.347,0.355,0.177
XMR,0.342,0.308,0.222
XRP,0.324,0.336,0.199
