data,recall,precision,F1 score
BTC,0.523,0.530,0.507
BTS,0.482,0.407,0.441
DASH,0.483,0.404,0.424
DGB,0.497,0.475,0.455
DOGE,0.489,0.346,0.405
ETH,0.489,0.460,0.395
IOC,0.477,0.421,0.396
LTC,0.491,0.466,0.440
MAID,0.479,0.447,0.447
MONA,0.629,0.640,0.621
NAV,0.511,0.665,0.449
SYS,0.495,0.484,0.489
VTC,0.475,0.476,0.476
XCP,0.492,0.462,0.458
XLM,0.493,0.434,0.420
XMR,0.478,0.387,0.421
XRP,0.496,0.475,0.422
