data,recall,precision,F1 score
BTC,0.350,0.346,0.342
BTS,0.316,0.328,0.311
DASH,0.314,0.315,0.314
DGB,0.352,0.350,0.343
DOGE,0.328,0.321,0.322
ETH,0.322,0.320,0.315
IOC,0.357,0.353,0.354
LTC,0.311,0.310,0.311
MAID,0.356,0.347,0.342
MONA,0.333,0.333,0.317
NAV,0.344,0.339,0.334
SYS,0.318,0.330,0.310
VTC,0.303,0.343,0.264
XCP,0.381,0.376,0.340
XLM,0.282,0.281,0.281
XMR,0.340,0.326,0.311
XRP,0.292,0.283,0.284
