symbol,timestamp,datetime,side,price,amount,btc_volume,gt
BTC,1579636800.0,2020-01-21 21:00:00,buy,0.1579415940025932,-6.331451708286311,-0.9999995751571816,0
BTC,1579640400.0,2020-01-21 22:00:00,buy,0.2000892584932886,-4.997767409841861,-0.9999995751571816,0
BTC,1579644000.0,2020-01-21 23:00:00,buy,0.1486134960369632,-6.728861118430734,-0.9999995751571816,0
BTC,1579647600.0,2020-01-22 00:00:00,buy,0.1738415236955168,-5.75236315179036,-0.9999995751571816,0
BTC,1579651200.0,2020-01-22 01:00:00,buy,0.1495812153808382,-6.685328586287744,-0.9999995751571816,0
BTC,1579654800.0,2020-01-22 02:00:00,buy,0.1540921345001077,-6.48962115036756,-0.9999995751571816,0
BTC,1579658400.0,2020-01-22 03:00:00,buy,0.1418853307049505,-7.047941955582945,-0.9999995751571816,0
BTC,1579662000.0,2020-01-22 04:00:00,buy,0.1660171102544817,-6.0234729638669045,-0.9999995751571816,0
BTC,1579665600.0,2020-01-22 05:00:00,buy,0.1705690065312959,-5.862727323640138,-0.9999995751571816,0
BTC,1579669200.0,2020-01-22 06:00:00,buy,0.1529223408586646,-6.539264109757587,-0.9999995751571816,0
BTC,1579672800.0,2020-01-22 07:00:00,buy,0.1760810177101759,-5.67920364254683,-0.9999999571629838,0
BTC,1579676400.0,2020-01-22 08:00:00,buy,0.1446758774209064,-6.911975006506169,-0.9999960487776552,0
BTC,1579680000.0,2020-01-22 09:00:00,buy,0.1092020229357055,-9.15733626952453,-0.9999996453345854,0
BTC,1579683600.0,2020-01-22 10:00:00,buy,0.1618836732641485,-6.177274566148392,-0.9999998975293009,0
BTC,1579687200.0,2020-01-22 11:00:00,buy,0.1434915235333933,-6.969049812370708,-0.9999995751571816,0
BTC,1579690800.0,2020-01-22 12:00:00,buy,0.1501392155447606,-6.660483869797489,-0.9999998233599264,0
BTC,1579694400.0,2020-01-22 13:00:00,buy,0.1647133122236808,-6.071152122781561,-0.9999995751571816,0
BTC,1579698000.0,2020-01-22 14:00:00,buy,0.1370363617929035,-7.297330154374889,-0.9999995751571816,0
BTC,1579701600.0,2020-01-22 15:00:00,buy,0.1682311198833932,-5.94419596096294,-0.999998743319138,0
BTC,1579705200.0,2020-01-22 16:00:00,buy,0.1580216999351072,-6.328242105785717,-0.9999995751571816,0
BTC,1579708800.0,2020-01-22 17:00:00,buy,0.1815136843817034,-5.509223659755169,-0.9999994845650128,0
BTC,1579712400.0,2020-01-22 18:00:00,buy,0.1566984880944893,-6.3816797935802745,-0.9999995751571816,0
BTC,1579716000.0,2020-01-22 19:00:00,buy,0.147995232769315,-6.756971535129876,-0.9999995751571816,0
BTC,1579719600.0,2020-01-22 20:00:00,buy,0.1567730895457794,-6.378643031495346,-0.9999995751571816,0
BTC,1579723200.0,2020-01-22 21:00:00,buy,0.1548079724076259,-6.459612897222606,-0.9999995751571816,0
BTC,1579726800.0,2020-01-22 22:00:00,buy,0.1544655078811657,-6.473934465204407,-0.9999995751571816,0
BTC,1579730400.0,2020-01-22 23:00:00,buy,0.1563873178820876,-6.394375751270093,-0.9999992732713888,0
BTC,1579734000.0,2020-01-23 00:00:00,buy,0.1727951656964159,-5.787198136358721,-0.9999998608900944,0
BTC,1579737600.0,2020-01-23 01:00:00,buy,0.1434429780714918,-6.97140835056271,-0.9999995751571816,0
BTC,1579741200.0,2020-01-23 02:00:00,buy,0.1214110824808432,-8.236475787129308,-0.9999994411426244,0
BTC,1579744800.0,2020-01-23 03:00:00,buy,0.1376856236397854,-7.2629166809217605,-0.9999992126565128,0
BTC,1579748400.0,2020-01-23 04:00:00,buy,0.1611641009926224,-6.204854944272736,-0.9999998688833436,0
BTC,1579752000.0,2020-01-23 05:00:00,buy,0.1425367302416942,-7.015733991277141,-0.9999997833621544,0
BTC,1579755600.0,2020-01-23 06:00:00,buy,0.1269622583548606,-7.876310562668204,-0.999994176540598,0
BTC,1579759200.0,2020-01-23 07:00:00,buy,0.1335182526064197,-7.489612380099433,-0.9999999576902844,0
BTC,1579762800.0,2020-01-23 08:00:00,buy,0.2118840162039056,-4.719561168761483,-0.9999995751571816,0
BTC,1579766400.0,2020-01-23 09:00:00,buy,0.1125730813614511,-8.883114533805557,-0.9999995751571816,0
BTC,1579770000.0,2020-01-23 10:00:00,buy,0.0850564470749069,-11.756867358103065,-0.9999973662111938,0
BTC,1579773600.0,2020-01-23 11:00:00,buy,0.1374525461858169,-7.275234399901526,-0.9999994923651084,0
BTC,1579777200.0,2020-01-23 12:00:00,buy,0.1594176147195636,-6.272831888615679,-0.9999998972199268,0
BTC,1579780800.0,2020-01-23 13:00:00,buy,0.1388710378355868,-7.2009112965831,-0.999998025118496,0
BTC,1579784400.0,2020-01-23 14:00:00,buy,0.1128044526406049,-8.86489667484119,-0.999999817120979,0
BTC,1579788000.0,2020-01-23 15:00:00,buy,0.1514894070901719,-6.601118461734478,-0.9999995219001436,0
BTC,1579791600.0,2020-01-23 16:00:00,buy,0.1602083117791522,-6.241870404497853,-0.9999995198488548,0
BTC,1579795200.0,2020-01-23 17:00:00,buy,0.1422408357316221,-7.030326910086257,-0.9999995751571816,0
BTC,1579798800.0,2020-01-23 18:00:00,buy,0.1433648992915493,-6.975207562828088,-0.999999929782502,0
BTC,1579802400.0,2020-01-23 19:00:00,buy,0.160944334013892,-6.213310896574267,-0.9999971842704036,0
BTC,1579806000.0,2020-01-23 20:00:00,buy,0.1861132221023043,-5.373071167829334,-0.9999995876297084,0
