data,recall,precision,F1 score
BTC,0.534,0.559,0.497
BTS,0.493,0.490,0.486
DASH,0.577,0.565,0.565
DGB,0.507,0.905,0.461
DOGE,0.640,0.619,0.607
ETH,0.596,0.595,0.593
IOC,0.500,0.299,0.374
LTC,0.504,0.504,0.504
MAID,0.500,0.378,0.430
MONA,0.636,0.636,0.636
NAV,0.500,0.363,0.421
SYS,0.500,0.484,0.492
VTC,0.500,0.477,0.488
XCP,0.501,0.500,0.438
XLM,0.531,0.526,0.521
XMR,0.512,0.511,0.510
XRP,0.640,0.625,0.620
