data,recall,precision,F1 score
BTC,0.554,0.583,0.529
BTS,0.502,0.503,0.493
DASH,0.550,0.543,0.543
DGB,0.510,0.628,0.473
DOGE,0.624,0.606,0.601
ETH,0.611,0.614,0.599
IOC,0.500,0.299,0.374
LTC,0.506,0.507,0.506
MAID,0.500,0.378,0.430
MONA,0.604,0.605,0.604
NAV,0.500,0.363,0.421
SYS,0.500,0.484,0.492
VTC,0.500,0.477,0.488
XCP,0.457,0.471,0.367
XLM,0.537,0.533,0.533
XMR,0.521,0.520,0.520
XRP,0.638,0.625,0.623
