data,recall,precision,F1 score
BTC,0.330,0.332,0.328
BTS,0.315,0.317,0.311
DASH,0.317,0.320,0.316
DGB,0.334,0.336,0.327
DOGE,0.327,0.328,0.321
ETH,0.352,0.340,0.341
IOC,0.345,0.343,0.343
LTC,0.332,0.327,0.329
MAID,0.349,0.339,0.333
MONA,0.345,0.346,0.332
NAV,0.350,0.351,0.348
SYS,0.289,0.311,0.290
VTC,0.276,0.335,0.256
XCP,0.343,0.339,0.297
XLM,0.306,0.305,0.300
XMR,0.347,0.339,0.321
XRP,0.320,0.319,0.318
