data,recall,precision,F1 score
BTC,0.326,0.268,0.124
BTS,0.333,0.356,0.166
DASH,0.336,0.463,0.171
DGB,0.324,0.122,0.163
DOGE,0.322,0.094,0.146
ETH,0.331,0.186,0.112
IOC,0.326,0.327,0.150
LTC,0.340,0.345,0.144
MAID,0.324,0.269,0.179
MONA,0.335,0.374,0.131
NAV,0.332,0.212,0.188
SYS,0.333,0.512,0.234
VTC,0.318,0.346,0.181
XCP,0.317,0.107,0.131
XLM,0.333,0.087,0.138
XMR,0.339,0.160,0.161
XRP,0.334,0.225,0.168
