data,recall,precision,F1 score
BTC,0.529,0.537,0.515
BTS,0.475,0.448,0.455
DASH,0.478,0.448,0.445
DGB,0.502,0.504,0.483
DOGE,0.469,0.435,0.433
ETH,0.519,0.520,0.513
IOC,0.504,0.507,0.470
LTC,0.495,0.488,0.461
MAID,0.481,0.473,0.471
MONA,0.604,0.638,0.578
NAV,0.493,0.470,0.443
SYS,0.481,0.483,0.482
VTC,0.447,0.475,0.460
XCP,0.511,0.530,0.497
XLM,0.474,0.449,0.445
XMR,0.503,0.503,0.503
XRP,0.529,0.535,0.527
