data,recall,precision,F1 score
BTC,0.542,0.577,0.503
BTS,0.498,0.409,0.449
DASH,0.513,0.528,0.496
DGB,0.496,0.403,0.445
DOGE,0.499,0.473,0.414
ETH,0.609,0.608,0.606
IOC,0.498,0.299,0.373
LTC,0.530,0.541,0.527
MAID,0.498,0.378,0.430
MONA,0.641,0.646,0.637
NAV,0.499,0.363,0.420
SYS,0.499,0.484,0.491
VTC,0.499,0.477,0.488
XCP,0.499,0.489,0.458
XLM,0.498,0.352,0.412
XMR,0.496,0.373,0.426
XRP,0.620,0.610,0.609
